Date,Cow,Predicted Body Weight (kg)
2022-02-22,Cow 4,446.50113686868025
2022-02-23,Cow 4,446.50113686868025
2022-02-24,Cow 4,446.50113686868025
2022-02-25,Cow 4,446.50113686868025
2022-02-26,Cow 4,446.50113686868025
2022-02-27,Cow 4,446.50113686868025
2022-02-28,Cow 4,446.50113686868025
2022-03-01,Cow 4,446.50113686868025
2022-02-15,Cow 5,460.1720024491821
2022-02-16,Cow 5,460.1720024491821
2022-02-17,Cow 5,460.1720024491821
2022-02-18,Cow 5,460.1720024491821
2022-02-19,Cow 5,460.1720024491821
2022-02-20,Cow 5,460.1720024491821
2022-02-21,Cow 5,460.1720024491821
2022-02-22,Cow 5,460.1720024491821
2022-02-23,Cow 5,460.1720024491821
2022-02-24,Cow 5,460.1720024491821
2022-02-25,Cow 5,460.1720024491821
2022-02-26,Cow 5,460.1720024491821
2022-02-27,Cow 5,460.1720024491821
2022-02-28,Cow 5,460.1720024491821
2022-03-01,Cow 5,460.1720024491821
2022-02-15,Cow 6,459.08006935350846
2022-02-16,Cow 6,459.08006935350846
2022-02-17,Cow 6,459.08006935350846
2022-02-18,Cow 6,459.08006935350846
2022-02-19,Cow 6,459.08006935350846
2022-02-20,Cow 6,459.08006935350846
2022-02-21,Cow 6,459.08006935350846
2022-02-22,Cow 6,459.08006935350846
2022-02-23,Cow 6,459.08006935350846
2022-02-24,Cow 6,459.08006935350846
2022-02-25,Cow 6,459.08006935350846
2022-02-26,Cow 6,459.08006935350846
2022-02-27,Cow 6,459.08006935350846
2022-02-28,Cow 6,459.08006935350846
2022-03-01,Cow 6,459.08006935350846
2022-02-15,Cow 7,465.8964578278872
2022-02-16,Cow 7,465.8964578278872
2022-02-17,Cow 7,465.8964578278872
2022-02-18,Cow 7,465.8964578278872
2022-02-19,Cow 7,465.8964578278872
2022-02-20,Cow 7,465.8964578278872
2022-02-21,Cow 7,465.8964578278872
2022-02-22,Cow 7,465.8964578278872
2022-02-23,Cow 7,465.8964578278872
2022-02-24,Cow 7,465.8964578278872
2022-02-25,Cow 7,465.8964578278872
2022-02-26,Cow 7,465.8964578278872
2022-02-27,Cow 7,465.8964578278872
2022-02-28,Cow 7,465.8964578278872
2022-03-01,Cow 7,465.8964578278872
2022-02-15,Cow 8,469.408683780825
2022-02-16,Cow 8,469.408683780825
2022-02-17,Cow 8,469.408683780825
2022-02-18,Cow 8,469.408683780825
2022-02-19,Cow 8,469.408683780825
2022-02-20,Cow 8,469.408683780825
2022-02-21,Cow 8,469.408683780825
2022-02-22,Cow 8,469.408683780825
2022-02-23,Cow 8,469.408683780825
2022-02-24,Cow 8,469.408683780825
2022-02-25,Cow 8,469.408683780825
2022-02-26,Cow 8,469.408683780825
2022-02-27,Cow 8,469.408683780825
2022-02-28,Cow 8,469.408683780825
2022-03-01,Cow 8,469.408683780825
2022-02-15,Cow 9,459.6396971826246
2022-02-16,Cow 9,459.6396971826246
2022-02-17,Cow 9,459.6396971826246
2022-02-18,Cow 9,459.6396971826246
2022-02-19,Cow 9,459.6396971826246
2022-02-20,Cow 9,459.6396971826246
2022-02-21,Cow 9,459.6396971826246
2022-02-22,Cow 9,459.6396971826246
2022-02-23,Cow 9,459.6396971826246
2022-02-24,Cow 9,459.6396971826246
2022-02-25,Cow 9,459.6396971826246
2022-02-26,Cow 9,459.6396971826246
2022-02-27,Cow 9,459.6396971826246
2022-02-28,Cow 9,459.6396971826246
2022-03-01,Cow 9,459.6396971826246
2022-02-15,Cow 10,453.49276583282983
2022-02-16,Cow 10,453.49276583282983
2022-02-17,Cow 10,453.49276583282983
2022-02-18,Cow 10,453.49276583282983
2022-02-19,Cow 10,453.49276583282983
2022-02-20,Cow 10,453.49276583282983
2022-02-21,Cow 10,453.49276583282983
2022-02-22,Cow 10,453.49276583282983
2022-02-23,Cow 10,453.49276583282983
2022-02-24,Cow 10,453.49276583282983
2022-02-25,Cow 10,453.49276583282983
2022-02-26,Cow 10,453.49276583282983
2022-02-27,Cow 10,453.49276583282983
2022-02-28,Cow 10,453.49276583282983
2022-03-01,Cow 10,453.49276583282983
2022-02-15,Cow 11,432.00299157348934
2022-02-16,Cow 11,432.00299157348934
2022-02-17,Cow 11,432.00299157348934
2022-02-18,Cow 11,432.00299157348934
2022-02-19,Cow 11,432.00299157348934
2022-02-20,Cow 11,432.00299157348934
2022-02-21,Cow 11,432.00299157348934
2022-02-22,Cow 11,432.00299157348934
2022-02-23,Cow 11,432.00299157348934
2022-02-24,Cow 11,432.00299157348934
2022-02-25,Cow 11,432.00299157348934
2022-02-26,Cow 11,432.00299157348934
2022-02-27,Cow 11,432.00299157348934
2022-02-28,Cow 11,432.00299157348934
2022-03-01,Cow 11,432.00299157348934
2022-02-15,Cow 12,456.07995959648025
2022-02-16,Cow 12,456.07995959648025
2022-02-17,Cow 12,456.07995959648025
2022-02-18,Cow 12,456.07995959648025
2022-02-19,Cow 12,456.07995959648025
2022-02-20,Cow 12,456.07995959648025
2022-02-21,Cow 12,456.07995959648025
2022-02-22,Cow 12,456.07995959648025
2022-02-23,Cow 12,456.07995959648025
2022-02-24,Cow 12,456.07995959648025
2022-02-25,Cow 12,456.07995959648025
2022-02-26,Cow 12,456.07995959648025
2022-02-27,Cow 12,456.07995959648025
2022-02-28,Cow 12,456.07995959648025
2022-03-01,Cow 12,456.07995959648025
2022-02-15,Cow 13,443.0421979000295
2022-02-16,Cow 13,443.0421979000295
2022-02-17,Cow 13,443.0421979000295
2022-02-18,Cow 13,443.0421979000295
2022-02-19,Cow 13,443.0421979000295
2022-02-20,Cow 13,443.0421979000295
2022-02-21,Cow 13,443.0421979000295
2022-02-22,Cow 13,443.0421979000295
2022-02-23,Cow 13,443.0421979000295
2022-02-24,Cow 13,443.0421979000295
2022-02-25,Cow 13,443.0421979000295
2022-02-26,Cow 13,443.0421979000295
2022-02-27,Cow 13,443.0421979000295
2022-02-28,Cow 13,443.0421979000295
2022-03-01,Cow 13,443.0421979000295
2022-02-15,Cow 14,437.99318762390027
2022-02-16,Cow 14,437.99318762390027
2022-02-17,Cow 14,437.99318762390027
2022-02-18,Cow 14,437.99318762390027
2022-02-19,Cow 14,437.99318762390027
2022-02-20,Cow 14,437.99318762390027
2022-02-21,Cow 14,437.99318762390027
2022-02-22,Cow 14,437.99318762390027
2022-02-23,Cow 14,437.99318762390027
2022-02-24,Cow 14,437.99318762390027
2022-02-25,Cow 14,437.99318762390027
2022-02-26,Cow 14,437.99318762390027
2022-02-27,Cow 14,437.99318762390027
2022-02-28,Cow 14,437.99318762390027
2022-03-01,Cow 14,437.99318762390027
2022-02-15,Cow 15,455.03422834353404
2022-02-16,Cow 15,455.03422834353404
2022-02-17,Cow 15,455.03422834353404
2022-02-18,Cow 15,455.03422834353404
2022-02-19,Cow 15,455.03422834353404
2022-02-20,Cow 15,455.03422834353404
2022-02-21,Cow 15,455.03422834353404
2022-02-22,Cow 15,455.03422834353404
2022-02-23,Cow 15,455.03422834353404
2022-02-24,Cow 15,455.03422834353404
2022-02-25,Cow 15,455.03422834353404
2022-02-26,Cow 15,455.03422834353404
2022-02-27,Cow 15,455.03422834353404
2022-02-28,Cow 15,455.03422834353404
2022-03-01,Cow 15,455.03422834353404
2022-02-15,Cow 16,457.17193529901846
2022-02-16,Cow 16,457.17193529901846
2022-02-17,Cow 16,457.17193529901846
2022-02-18,Cow 16,457.17193529901846
2022-02-19,Cow 16,457.17193529901846
2022-02-20,Cow 16,457.17193529901846
2022-02-21,Cow 16,457.17193529901846
2022-02-22,Cow 16,457.17193529901846
2022-02-23,Cow 16,457.17193529901846
2022-02-24,Cow 16,457.17193529901846
2022-02-25,Cow 16,457.17193529901846
2022-02-26,Cow 16,457.17193529901846
2022-02-27,Cow 16,457.17193529901846
2022-02-28,Cow 16,457.17193529901846
2022-03-01,Cow 16,457.17193529901846
2022-02-15,Cow 17,462.8966558729756
2022-02-16,Cow 17,462.8966558729756
2022-02-17,Cow 17,462.8966558729756
2022-02-18,Cow 17,462.8966558729756
2022-02-19,Cow 17,462.8966558729756
2022-02-20,Cow 17,462.8966558729756
2022-02-21,Cow 17,462.8966558729756
2022-02-22,Cow 17,462.8966558729756
2022-02-23,Cow 17,462.8966558729756
2022-02-24,Cow 17,462.8966558729756
2022-02-25,Cow 17,462.8966558729756
2022-02-26,Cow 17,462.8966558729756
2022-02-27,Cow 17,462.8966558729756
2022-02-28,Cow 17,462.8966558729756
2022-03-01,Cow 17,462.8966558729756
2022-02-15,Cow 18,505.74991218520137
2022-02-16,Cow 18,505.74991218520137
2022-02-17,Cow 18,505.74991218520137
2022-02-18,Cow 18,505.74991218520137
2022-02-19,Cow 18,505.74991218520137
2022-02-20,Cow 18,505.74991218520137
2022-02-21,Cow 18,505.74991218520137
2022-02-22,Cow 18,505.74991218520137
2022-02-23,Cow 18,505.74991218520137
2022-02-24,Cow 18,505.74991218520137
2022-02-25,Cow 18,505.74991218520137
2022-02-26,Cow 18,505.74991218520137
2022-02-27,Cow 18,505.74991218520137
2022-02-28,Cow 18,505.74991218520137
2022-03-01,Cow 18,505.74991218520137
2022-02-15,Cow 19,485.69555521616735
2022-02-16,Cow 19,485.69555521616735
2022-02-17,Cow 19,485.69555521616735
2022-02-18,Cow 19,485.69555521616735
2022-02-19,Cow 19,485.69555521616735
